콘존ID,콘존길이,기점종점방향구분코드,시작노드ID,종료노드ID,차로수,노선번호,제한속도,노선구성순번,콘존명,버스전용차로유무,도로등급구분코드
0352CZE305,4470.00,E,0675,0063,2,0352,110.00,4,오창JC-증평IC,0,101
0352CZE310,11930.00,E,0063,0062,2,0352,110.00,5,증평IC-진천IC,0,101
0352CZE320,8500.00,E,0062,0456,2,0352,110.00,6,진천IC-대소JC,0,101
0352CZE330,4190.00,E,0456,0060,2,0352,110.00,7,대소JC-대소IC,0,101
0352CZE340,4510.00,E,0060,0662,2,0352,110.00,8,대소IC-삼성Hi,0,101
0352CZE345,8400.00,E,0662,0246,2,0352,110.00,9,삼성Hi-일죽IC,0,101
0352CZE350,10600.00,E,0246,0584,2,0352,110.00,10,일죽IC-남이천IC,0,101
0352CZE355,6110.00,E,0584,0243,2,0352,110.00,11,남이천IC-호법JC,0,101
0352CZE360,2380.00,E,0243,0264,4,0352,110.00,12,호법JC-마장JC,0,101
0352CZE370,3310.00,E,0264,0266,2,0352,110.00,13,마장JC-서이천IC,0,101
0352CZE380,2300.00,E,0266,0678,2,0352,110.00,14,서이천IC-신둔Hi,0,101
0352CZE383,8410.00,E,0678,0257,2,0352,110.00,15,신둔Hi-곤지암,0,101
0352CZE385,4090.00,E,0257,0596,2,0352,110.00,16,곤지암IC-경기광주JC,0,101
0352CZE390,8030.00,E,0596,0255,2,0352,110.00,17,경기광주JC-경기광주IC,0,101
0352CZE400,4940.00,E,0255,0265,2,0352,110.00,18,경기광주IC-산곡JC,0,101
0352CZE410,4230.00,E,0265,0475,4,0352,110.00,19,산곡JC-동서울TG,0,101
0352CZE420,1000.00,E,0475,0260,4,0352,110.00,20,동서울TG-하남IC,0,101
0352CZE430,2390.00,E,0260,0253,4,0352,110.00,21,하남IC-하남JC,0,101
0352CZS280,6030.00,S,0065,0067,2,0352,110.00,20,서청주IC-남이JC,0,101
0352CZS290,7460.00,S,0064,0065,2,0352,110.00,19,오창IC-서청주IC,0,101
0352CZS300,3910.00,S,0675,0064,2,0352,110.00,18,오창JC-오창IC,0,101
0352CZS305,4470.00,S,0063,0675,2,0352,110.00,17,증평IC-오창JC,0,101
0352CZS310,11930.00,S,0062,0063,2,0352,110.00,16,진천IC-증평IC,0,101
0352CZS320,8500.00,S,0456,0062,2,0352,110.00,15,대소JC-진천IC,0,101
0352CZS330,4190.00,S,0060,0456,2,0352,110.00,14,대소IC-대소JC,0,101
0352CZS340,4510.00,S,0662,0060,2,0352,110.00,13,삼성Hi-대소IC,0,101
0352CZS345,8400.00,S,0246,0662,2,0352,110.00,12,일죽IC-삼성Hi,0,101
0352CZS350,10600.00,S,0584,0246,2,0352,110.00,11,남이천IC-일죽IC,0,101
0352CZS355,6110.00,S,0243,0584,2,0352,110.00,10,호법JC-남이천IC,0,101
0352CZS360,2380.00,S,0264,0243,4,0352,110.00,9,마장JC-호법JC,0,101
0352CZS370,3310.00,S,0266,0264,2,0352,110.00,8,서이천IC-마장JC,0,101
0352CZS380,10710.00,S,0257,0266,2,0352,110.00,7,곤지암IC-서이천IC,0,101
0352CZS385,4090.00,S,0596,0257,2,0352,110.00,6,경기광주JC-곤지암IC,0,101
0352CZS390,8030.00,S,0255,0596,2,0352,110.00,5,경기광주IC-경기광주JC,0,101
0352CZS400,4940.00,S,0265,0255,2,0352,110.00,4,산곡JC-경기광주IC,0,101
0352CZS410,4230.00,S,0475,0265,4,0352,110.00,3,동서울TG-산곡JC,0,101
0352CZS420,1000.00,S,0260,0475,4,0352,110.00,2,하남IC-동서울TG,0,101
0352CZS430,2390.00,S,0253,0260,4,0352,110.00,1,하남JC-하남IC,0,101
0370CZE010,3900.00,E,0264,0482,2,0370,110.00,1,마장JC-서이천IC,0,101
0370CZE020,1700.00,E,0482,0678,2,0370,110.00,2,서이천IC-신둔Hi,0,101
0370CZE023,8400.00,E,0678,0483,2,0370,80.00,3,신둔Hi-곤지암IC,0,101
0370CZE025,3600.00,E,0483,0596,2,0370,110.00,4,곤지암IC-경기광주JC,0,101
0370CZE030,3200.00,E,0596,0484,2,0370,110.00,5,경기광주JC-신월천교,0,101
0370CZE040,5300.00,E,0484,0485,2,0370,110.00,6,신월천교-천진암교,0,101
0370CZE050,4150.00,E,0485,0265,2,0370,110.00,7,천진암교-산곡JC,0,101
0370CZS010,3900.00,S,0482,0264,2,0370,110.00,6,서이천IC-마장JC,0,101
0370CZS020,10100.00,S,0483,0482,2,0370,110.00,5,곤지암IC-서이천IC,0,101
0370CZS025,3600.00,S,0596,0483,2,0370,110.00,4,경기광주JC-곤지암IC,0,101
0370CZS030,3200.00,S,0484,0596,2,0370,110.00,3,경기광주JC-신월천교,0,101
0370CZS040,5300.00,S,0485,0484,2,0370,110.00,2,천진암교-신월천교,0,101
0370CZS050,4150.00,S,0265,0485,2,0370,110.00,1,산곡JC-천진암교,0,101
0400CZE010,2800.00,E,0303,0302,3,0400,100.00,1,서평택JC-청북IC,0,101
0400CZE020,5200.00,E,0302,0433,3,0400,100.00,2,청북IC-평택JC,0,101
0400CZE030,5700.00,E,0433,0679,3,0400,100.00,3,평택JC-평택고덕IC,0,101
0400CZE035,7170.00,E,0679,0301,3,0400,100.00,4,평택고덕IC-송탄IC,0,101
0400CZE040,2830.00,E,0301,0300,4,0400,100.00,5,송탄IC-안성JC,0,101
0400CZE050,1980.00,E,0300,0261,2,0400,100.00,6,안성JC-서안성IC,0,101
0400CZE060,10210.00,E,0261,0353,2,0400,100.00,7,서안성IC-남안성IC,0,101
0400CZE070,19510.00,E,0353,0466,2,0400,100.00,8,남안성IC-북진천IC,0,101
0400CZE080,2500.00,E,0466,0456,2,0400,100.00,9,북진천IC-대소JC,0,101
0400CZE090,7200.00,E,0456,0574,2,0400,100.00,10,대소JC-금왕꽃동네IC,0,101
0400CZE095,7310.00,E,0574,0571,2,0400,100.00,11,금왕꽃동네IC-음성IC,0,101
0400CZE100,5400.00,E,0571,0572,2,0400,100.00,12,음성IC-서충주IC,0,101
0400CZE110,7680.00,E,0572,0573,2,0400,100.00,13,서충주IC-충주JC,0,101
0400CZE120,5370.00,E,0573,0575,2,0400,100.00,14,충주JC-노은JC,0,101
0400CZE130,12330.00,E,0575,0576,2,0400,100.00,15,노은JC-동충주IC,0,101
0400CZE140,23720.00,E,0576,0578,2,0400,100.00,16,동충주IC-제천JC,0,101
